epoch,train_mse,val_mse,lr,elapsed_s
1,0.7276237512597387,0.8570052413713365,0.001,439.38901470112614
2,0.6259854342441381,0.824896668630933,0.001,809.5751452741679
3,0.5932856116050519,0.8534956697433714,0.001,1233.2600946170278
4,0.5808813585813001,0.8217779492575025,0.001,1607.819815797964
5,0.567932035797131,0.8440636240300678,0.001,2031.037270405097
6,0.5567466628662547,0.8007226893826137,0.001,2455.585043034982
7,0.5519924226754941,0.8662152157889472,0.001,2864.665460794
8,0.5441034851792437,0.8849454517402346,0.001,3266.0652145431377
9,0.5396283160640586,0.8701494227326105,0.001,3693.08156745811
10,0.5321935700333636,0.871299346761098,0.001,4124.557139636017
11,0.5278248788777345,0.8845890869223882,0.001,4554.12973439903
12,0.5259534756404273,0.9207705519502125,0.0005,4983.071784890024
13,0.505924840151153,0.8760365938383435,0.0005,5413.570830120007
14,0.5000919469209931,0.8690207874964154,0.0005,5843.577002112055
15,0.5010687650545783,0.8336784622025868,0.0005,6273.6431238101795
16,0.4976567102144964,0.8537138728868394,0.0005,6704.016996205086
